16:00:09 [INFO] __main__: log file: C:\document\wingman_yolo\logs\wingman_yolo.log
16:00:09 [INFO] __main__: loaded config from ./configs/config.yaml
16:00:09 [INFO] core.capture: dxshot camera initialized, region=(960,400,1600,1040)
16:00:09 [INFO] __main__: Wingman_Yolo starting
16:00:10 [INFO] core.aim_controller: aim state: IDLE -> SCANNING
16:00:10 [INFO] core.aim_controller: aim controller started at 120 Hz
16:00:10 [INFO] __main__: detection and aim control started
16:00:10 [INFO] core.aim_controller: aim: NOT active — state=SCANNING (need AIMING)
16:00:11 [INFO] core.detector: model loaded: weights\best.pt on cuda:0
16:00:11 [INFO] core.detector: detection engine started
16:00:11 [INFO] core.detector: capture pipeline thread started
16:00:11 [INFO] core.overlay: overlay thread started
16:00:11 [INFO] core.overlay: overlay created (2560x1440)
16:00:11 [INFO] core.detector: frame #1: raw 8400 preds, max conf=0.002 < thres=0.45, all filtered
16:00:11 [INFO] core.overlay: overlay render #1: 0 detections
16:00:11 [INFO] core.aim_controller: aim state: SCANNING -> AIMING
16:00:11 [INFO] core.aim_controller: aim loop auto-tuned: 120 → 30 Hz (detection: 17 FPS)
16:00:11 [INFO] core.aim_controller: aim: ACTIVE but 0 moves/s (is_aiming=True cache=False)
16:00:11 [INFO] core.detector: frame #31: raw 8400 preds, max conf=0.023 < thres=0.45, all filtered
16:00:12 [INFO] core.detector: frame #61: raw 8400 preds, max conf=0.031 < thres=0.45, all filtered
16:00:12 [INFO] core.overlay: overlay render #61: 0 detections
16:00:12 [INFO] core.detector: frame #66: 1 detections found (max conf=0.827, cls0=1)
16:00:12 [INFO] core.detector: frame #68: 1 detections found (max conf=0.827, cls0=1)
16:00:12 [INFO] core.detector: frame #70: 1 detections found (max conf=0.816, cls0=1)
16:00:12 [INFO] core.detector: frame #72: 1 detections found (max conf=0.870, cls0=1)
16:00:12 [INFO] core.detector: frame #74: 1 detections found (max conf=0.817, cls0=1)
16:00:12 [INFO] core.detector: frame #78: 1 detections found (max conf=0.527, cls19=1)
16:00:12 [INFO] core.detector: frame #82: 1 detections found (max conf=0.643, cls0=1)
16:00:12 [INFO] core.detector: frame #92: 1 detections found (max conf=0.753, cls0=1)
16:00:12 [INFO] core.detector: frame #94: 1 detections found (max conf=0.758, cls0=1)
16:00:12 [INFO] core.detector: frame #96: 2 detections found (max conf=0.718, cls0=1 cls8=1)
16:00:12 [INFO] core.detector: frame #98: 1 detections found (max conf=0.711, cls0=1)
16:00:12 [INFO] core.detector: frame #100: 1 detections found (max conf=0.792, cls0=1)
16:00:12 [INFO] core.detector: frame #102: 1 detections found (max conf=0.788, cls0=1)
16:00:12 [INFO] core.detector: frame #104: 1 detections found (max conf=0.857, cls0=1)
16:00:12 [INFO] core.detector: frame #106: 1 detections found (max conf=0.780, cls0=1)
16:00:12 [INFO] core.detector: frame #108: 1 detections found (max conf=0.552, cls0=1)
16:00:12 [INFO] core.detector: frame #110: 1 detections found (max conf=0.749, cls0=1)
16:00:12 [INFO] core.detector: frame #112: 1 detections found (max conf=0.759, cls0=1)
16:00:12 [INFO] core.detector: frame #114: 1 detections found (max conf=0.787, cls0=1)
16:00:12 [INFO] core.aim_controller: aim loop auto-tuned: 30 → 45 Hz (detection: 30 FPS)
16:00:12 [INFO] core.detector: frame #116: 1 detections found (max conf=0.756, cls0=1)
16:00:12 [INFO] core.detector: frame #118: 1 detections found (max conf=0.761, cls0=1)
16:00:12 [INFO] core.detector: frame #120: 1 detections found (max conf=0.638, cls0=1)
16:00:12 [INFO] core.detector: frame #122: 1 detections found (max conf=0.646, cls0=1)
16:00:12 [INFO] core.detector: frame #125: 1 detections found (max conf=0.714, cls0=1)
16:00:13 [INFO] core.detector: frame #127: 1 detections found (max conf=0.520, cls0=1)
16:00:13 [INFO] core.detector: frame #130: 2 detections found (max conf=0.557, cls0=1 cls3=1)
16:00:13 [INFO] core.detector: frame #133: 1 detections found (max conf=0.549, cls3=1)
16:00:13 [INFO] core.detector: frame #140: 1 detections found (max conf=0.475, cls0=1)
16:00:13 [INFO] core.detector: frame #145: 1 detections found (max conf=0.561, cls0=1)
16:00:13 [INFO] core.aim_controller: aim: OK — 31 moves/s (cache=True vel=(136,9))
16:00:13 [INFO] core.detector: frame #148: 1 detections found (max conf=0.612, cls0=1)
16:00:13 [INFO] core.detector: frame #150: 2 detections found (max conf=0.555, cls0=1 cls8=1)
16:00:13 [INFO] core.detector: frame #152: 2 detections found (max conf=0.713, cls0=1 cls8=1)
16:00:13 [INFO] core.detector: frame #154: 1 detections found (max conf=0.471, cls0=1)
16:00:13 [INFO] core.detector: frame #156: 1 detections found (max conf=0.505, cls0=1)
16:00:13 [INFO] core.detector: frame #170: 1 detections found (max conf=0.723, cls0=1)
16:00:13 [INFO] core.detector: frame #172: 1 detections found (max conf=0.787, cls0=1)
